ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2023 - 8,0.4,"3,675.2","1,313.9",1.4,"8,896.5",1.9,0.4,0.2,"1,286.4","3,348.4",0.0,-0.2,0.0,194.0,"1,096.5",2.1,0.2,0.2,3.0,-0.5,-2.1,21.6,0.0,0.0,0.0,57.5,0.1,0.0
10/09/2023 - 9,0.4,"3,131.6","1,308.6",2.9,"9,003.7",15.5,0.4,0.1,"1,207.7","3,441.4",0.1,-0.1,0.0,"2,097.9","1,255.9",2.7,0.2,0.6,1.8,-0.5,-2.5,22.7,0.0,0.0,0.0,68.9,0.1,0.0
10/09/2023 - 10,0.4,"3,461.8","1,327.1",1.2,"8,883.7",0.9,0.3,0.3,"1,234.3","3,565.6",0.2,-0.1,0.2,78.4,"1,281.6",2.7,0.3,0.3,2.0,-0.4,-2.0,22.6,0.0,0.0,0.0,64.7,0.1,0.1
10/09/2023 - 11,0.4,"3,188.1","1,317.3",2.4,"8,813.8",14.7,0.3,0.1,"1,218.1","3,393.1",0.2,-0.1,0.0,"1,769.2","1,112.5",2.4,0.2,0.6,1.4,-0.4,-2.3,22.6,0.0,0.0,0.0,64.3,0.1,0.0
10/09/2023 - 12,0.4,"3,411.6","1,305.6",1.0,"8,728.2",0.6,0.3,0.1,"1,209.9","3,463.1",0.0,-0.2,0.0,72.4,"1,106.5",2.3,0.2,0.2,0.6,-0.5,-2.5,22.2,0.0,0.0,0.0,59.2,0.1,0.0
10/09/2023 - 13,0.3,"3,101.0","1,325.8",2.7,"9,014.8",12.8,0.5,0.1,"1,179.5","3,488.1",0.1,-0.1,0.0,"2,021.3","1,284.1",2.8,0.2,0.5,1.0,-0.5,-2.5,23.0,0.0,0.0,0.0,70.0,0.1,0.0
10/09/2023 - 14,0.4,"3,430.3","1,340.7",1.0,"8,827.0",0.1,0.4,0.1,"1,206.7","3,591.8",0.0,-0.2,0.0,46.9,"1,337.9",2.9,0.2,0.3,3.9,-0.5,-2.5,23.2,0.0,0.0,0.0,67.7,0.1,0.0
10/09/2023 - 19,0.3,"2,417.4",912.7,12.4,"5,240.2",11.4,0.3,-0.1,"1,484.2","1,916.4",-0.1,-0.1,0.0,723.6,209.3,0.3,0.3,0.3,1.3,-0.4,-2.3,14.1,0.0,0.1,0.0,33.6,0.2,0.0
10/09/2023 - 20,0.2,"2,802.9",919.8,1.4,"5,144.7",0.7,0.2,-0.1,"1,378.2","1,994.3",-0.2,-0.2,0.0,143.1,142.9,0.2,0.1,0.1,0.3,-0.4,-2.5,14.1,0.0,0.0,0.0,23.2,0.1,0.0
10/09/2023 - 21,0.2,"2,400.4",908.2,13.3,"5,312.5",12.0,0.3,-0.1,"1,456.0","1,935.7",-0.1,-0.1,0.1,709.4,203.0,0.3,0.1,0.2,0.3,-0.4,-2.4,13.9,0.0,0.0,0.0,32.8,0.1,0.0
10/09/2023 - 22,0.3,"2,943.1",935.6,2.1,"5,249.8",1.2,0.3,0.0,"1,399.7","2,015.9",-0.3,-0.1,0.0,149.5,133.4,0.2,0.2,0.2,0.4,-0.4,-2.2,14.0,0.0,0.0,0.0,20.8,0.1,0.0
10/09/2023 - 23,0.2,"2,391.5",914.1,17.6,"5,383.6",13.8,0.3,-0.1,"1,456.7","1,963.4",-0.1,-0.1,0.1,949.4,237.8,0.4,0.2,0.2,0.6,-0.4,-2.2,14.1,0.0,0.0,0.0,35.2,1.2,0.0
10/09/2023 - 24,0.3,"2,777.0",927.5,1.9,"5,319.1",1.0,0.2,0.0,"1,452.1","2,056.1",0.0,-0.1,0.0,423.1,301.0,0.4,0.1,0.4,0.4,-0.3,-1.8,14.4,0.0,0.0,0.0,29.9,0.1,0.1
10/09/2023 - 25,0.2,"2,232.4",931.0,3.2,"8,402.7",20.3,-0.4,-0.1,"1,718.6","2,571.8",0.2,0.0,0.1,"38,053.9","2,276.9",3.7,0.4,0.4,1.3,0.1,-2.3,18.7,0.0,0.0,0.1,91.9,0.1,0.0
10/09/2023 - 26,0.2,"2,417.8",929.8,1.0,"8,006.0",2.2,-0.5,-0.1,"1,681.0","2,532.8",0.0,-0.1,0.1,"34,708.8","2,202.9",3.4,0.3,0.3,16.0,0.0,-2.4,18.5,0.0,0.0,0.0,87.1,0.1,0.0
10/17/2023 - 19,0.3,"2,507.7",956.7,19.1,"5,442.9",16.8,-0.1,0.0,"1,626.0","2,045.8",0.3,-0.1,0.1,"2,083.0",134.3,0.3,10.4,0.9,5.2,-0.3,-2.2,14.5,0.0,0.1,0.0,30.9,0.5,0.0
10/17/2023 - 22,0.3,"4,066.6",938.7,4.7,"5,345.1",6.4,-0.2,0.2,"1,263.8","2,150.5",-0.1,-0.1,0.0,"1,098.9",96.5,0.3,0.7,0.5,3.1,-0.4,-2.3,13.9,0.0,0.1,0.0,17.5,0.2,0.0
10/17/2023 - 23,0.3,"2,481.4",935.6,23.1,"5,406.3",18.4,-0.2,0.0,"1,576.5","2,038.7",0.2,-0.1,0.1,"1,902.1",133.3,0.3,0.4,0.6,5.6,-0.4,-2.4,14.6,0.0,0.1,0.0,31.1,0.5,0.0
10/17/2023 - 24,0.3,"8,452.6","1,088.6",4.9,"7,285.7",4.6,0.0,0.2,"1,659.5","2,315.3",0.0,-0.1,0.1,"1,048.5",102.1,0.2,0.3,0.4,2.8,-0.4,-2.4,14.3,0.0,0.0,0.0,26.7,0.1,0.0
10/17/2023 - 25,0.2,"2,433.9",949.2,27.4,"5,456.7",14.4,0.2,-0.1,"1,521.1","2,061.3",0.4,-0.1,0.1,"1,898.4",134.5,0.3,0.2,0.4,4.8,-0.4,-2.5,14.6,0.0,0.0,0.0,32.0,1.0,0.0
10/17/2023 - 26,0.2,"2,688.5",944.5,4.5,"5,381.3",3.2,0.1,0.0,"1,553.8","2,079.3",-0.2,-0.1,0.0,"1,056.0",140.4,0.2,0.2,0.2,1.8,-0.4,-2.3,14.5,0.0,0.0,0.0,25.1,0.1,0.0
