ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,[Note:  4 samples had solids in the bottom so I didn't run those],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2020 - 14,0.3,"2,669.2","1,141.7",13.3,"7,702.6",-0.8,0.2,-0.4,"1,200.0","3,105.4",0.7,0.0,0.1,216.2,"1,137.2",2.7,0.1,0.3,2.5,0.1,0.7,20.2,0.0,0.0,0.0,0.0,46.0,0.2,0.0
09/15/2020 - 1,0.4,"2,608.3",954.9,23.7,"7,276.0",16.0,0.5,-0.5,"1,198.3","2,147.8",0.8,0.2,0.1,341.6,18.8,0.1,0.1,1.0,0.5,0.1,0.7,13.3,0.0,0.0,0.0,0.0,17.1,0.2,0.0
09/15/2020 - 2,0.4,"4,995.7",796.6,19.2,"7,329.3",5.9,0.6,-0.3,"1,109.8","1,695.4",0.8,0.2,0.2,235.3,12.9,0.1,0.4,36.3,20.7,0.1,0.9,10.9,0.0,0.0,0.0,0.0,13.0,0.4,0.0
09/15/2020 - 3,0.4,"2,615.3",954.5,27.5,"7,281.7",18.4,0.4,-0.6,"1,189.1","2,151.2",1.0,0.2,0.1,370.0,18.9,0.1,0.1,1.0,0.7,0.1,0.8,13.4,0.0,0.0,0.0,0.0,17.3,0.2,0.0
09/15/2020 - 4,0.4,"2,692.2",915.0,28.6,"7,265.9",1.9,0.3,-0.5,"1,130.2","1,997.6",0.8,0.2,0.1,168.9,2.3,0.1,0.1,1.1,2.1,0.1,0.7,12.7,0.0,0.0,0.0,0.0,14.9,0.2,0.0
09/15/2020 - 5,0.4,"2,585.5","1,085.3",19.4,"7,431.0",27.3,0.5,-0.3,"1,332.6","2,830.3",0.8,0.1,0.1,"2,222.6",768.1,1.6,0.2,0.7,0.5,0.1,0.9,18.5,0.0,0.0,0.0,-0.1,48.3,0.2,0.0
09/15/2020 - 6,0.4,"2,678.3","1,081.3",19.5,"7,508.8",0.9,0.5,-0.1,"1,330.1","2,806.2",0.7,0.1,0.1,"1,527.8",741.2,1.5,0.1,0.4,7.7,0.1,0.8,18.4,0.0,0.0,0.0,-0.1,49.2,0.2,0.0
09/15/2020 - 7,0.3,"2,629.9","1,140.3",19.7,"7,703.8",23.1,0.2,-0.4,"1,241.6","3,125.2",0.8,0.1,0.1,"2,256.3","1,162.4",2.5,0.1,0.5,0.8,0.1,0.8,20.3,0.0,0.0,0.0,-0.1,49.7,0.2,0.0
09/15/2020 - 8,0.3,"2,692.5","1,151.4",13.5,"7,688.9",-0.8,0.1,-0.4,"1,236.3","3,148.1",0.7,0.0,0.1,519.6,"1,156.2",2.5,0.2,0.4,8.7,0.1,0.7,20.5,0.0,0.0,0.0,0.2,52.9,0.2,0.0
09/15/2020 - 9,0.3,"2,654.7","1,147.1",16.9,"7,824.0",20.6,0.2,-0.5,"1,211.0","3,081.7",0.8,0.1,0.1,"2,666.4","1,145.3",2.7,0.2,0.5,0.4,0.1,0.8,20.1,0.0,0.0,0.0,0.1,49.6,0.2,0.0
09/15/2020 - 10,0.3,"2,693.6","1,143.7",17.5,"7,734.3",-0.1,0.2,-0.4,"1,220.1","3,080.3",0.7,0.0,0.1,908.0,"1,123.7",2.6,0.2,0.4,13.7,0.1,0.8,20.1,0.0,0.0,0.0,0.0,51.1,0.2,0.0
09/15/2020 - 11,0.3,"2,745.1","1,196.4",25.3,"8,115.4",29.6,0.2,-0.4,"1,235.3","3,326.2",0.9,0.1,0.1,"2,773.7","1,320.5",3.3,0.2,0.8,6.1,0.1,0.8,21.5,0.0,0.0,0.0,0.0,70.4,0.3,0.0
