ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick 56,0.3,"2,667.6","1,069.8",15.2,"7,878.3",-5.4,-0.8,0.2,"1,261.4","2,680.8",0.5,0.1,0.1,"1,060.3","1,169.7",2.5,0.0,0.0,-3.6,0.1,-0.4,17.9,-0.3,0.0,0.0,-0.3,48.4,0.2,0.0
Nick 57,0.2,"2,692.5","1,198.2",15.2,"7,893.8",16.2,-0.8,0.2,"1,257.7","3,251.8",0.5,0.1,0.1,"3,892.7","1,569.5",3.7,0.1,0.2,-4.2,0.1,-0.5,22.0,-0.3,0.0,0.0,-0.3,65.3,0.2,0.0
Nick 58,0.2,"2,674.3","1,185.2",9.7,"7,665.9",-7.3,-0.8,0.2,"1,251.1","3,264.2",0.4,0.0,0.1,1.1,"1,559.8",3.7,0.1,-0.1,-3.9,0.1,-0.5,22.1,-0.3,0.0,0.0,-0.3,64.6,0.2,0.0
Nick 59,0.2,"2,688.4","1,172.5",14.8,"7,877.4",16.7,-0.7,0.2,"1,264.9","3,212.5",0.6,0.1,0.1,"3,768.7","1,517.7",3.6,0.1,0.3,-4.1,0.1,-0.5,21.8,-0.3,0.0,0.0,-0.3,63.3,0.2,0.0
Nick 60,0.2,"2,668.2","1,156.4",13.5,"7,613.2",-7.1,-0.8,0.2,"1,246.7","3,121.8",0.4,0.0,0.1,53.0,"1,418.0",3.3,0.1,-0.1,-3.9,0.1,-0.7,21.1,-0.3,0.0,0.0,-0.4,59.2,0.2,0.0
Nick 61,0.2,"2,654.2","1,183.3",19.4,"7,817.8",65.5,-0.7,0.2,"1,257.5","3,268.8",0.9,0.2,0.8,"5,169.8","1,533.3",3.7,0.9,5.3,81.6,0.2,-0.5,21.8,-0.3,0.0,0.0,-0.3,64.2,0.7,0.0
Nick 62,0.2,"2,682.0","1,168.8",10.4,"7,702.9",-7.6,-0.8,0.2,"1,250.3","3,201.7",0.4,0.0,0.0,4.9,"1,473.5",3.5,0.1,-0.1,-4.1,0.1,-0.6,21.8,-0.3,0.0,0.0,0.2,62.2,0.2,0.0
Nick 63,0.3,"2,710.4","1,048.9",19.5,"7,869.9",12.1,-0.4,0.2,"1,306.6","2,410.5",0.5,0.1,0.1,426.8,161.1,0.3,0.1,0.5,-1.4,0.1,-0.2,15.6,-0.3,0.0,0.0,-0.1,24.1,0.2,0.0
Nick 64,0.3,"2,658.3","1,015.5",17.9,"7,686.0",-5.6,-0.6,0.2,"1,241.8","2,296.8",0.4,0.1,0.1,50.1,82.5,0.1,0.0,0.1,-4.3,0.1,-0.4,15.3,-0.4,0.0,0.0,-0.2,21.4,0.2,0.0
Nick 65,0.3,"2,675.8","1,036.7",16.3,"7,744.5",9.5,-0.5,0.2,"1,277.0","2,347.0",0.5,0.1,0.1,409.9,155.5,0.3,0.0,0.4,-4.9,0.1,-0.5,15.5,-0.3,0.0,0.0,-0.3,23.7,0.2,0.0
