ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.4,2754.8,968.9,17.4,8001,10,0.3,0.9,866.5,2184.9,0.7,0.1,0.1,112.8,12,0,0.2,0.6,5.8,0.1,0.2,14.5,0.5,0,0,-0.1,18,1.1,0
63,0.4,2623.9,958.3,21.5,7620,19.9,0.3,0.9,916.2,2214.7,0.7,0.1,0.1,631.6,256.3,0.5,0.2,1,4.5,0.1,0.1,14.7,0,0,0,-0.1,28.8,1,0
64,0.4,2687.1,980.4,28,7751.4,6.7,0.3,1,950.4,2280.8,0.7,0,0.2,140.7,306.8,0.6,0.2,0.5,11.5,0.1,0.3,15,2.1,0,0,-0.1,25.4,1,0
65,0.4,2669.7,978.7,23.6,7833.3,22.9,0.3,1,958,2298.4,0.8,0.1,0.1,1812,415.8,0.9,0.2,1.1,6.5,0.1,0.3,15.2,0.1,0,0,-0.1,31.9,1,0
66,0.4,2646.7,966.7,19.9,7749.4,8.5,0.2,1,951.8,2292.5,0.6,0,0.1,1462.4,419.9,1,0.2,0.5,5.3,0.1,0.2,15.1,0.2,0,0,-0.2,26.1,0.9,0
67,0.4,2605.4,982.6,21.2,7998.3,29.8,0.3,1,996,2382.2,0.8,0.1,0.1,5040.6,682.7,1.7,0.3,1.2,5.5,0.1,0.2,16,0.1,0,0,-0.3,34.2,1,0
68,0.4,2618.6,985.1,14.8,7908.2,16.3,0.1,1,994.5,2393.5,0.6,0.1,0.1,4930,695.6,1.7,0.2,0.3,5.4,0.1,0,16.2,0.3,0,0,-0.2,33.4,0.9,0
69,0.4,2598,1001.8,19.5,7941.1,31.2,0.1,1,1001.4,2442.3,0.8,0.1,0.2,6596.5,774.3,1.9,0.3,1.2,4.3,0.1,0.3,16.7,0.3,0,0,0.2,38.6,0.9,0
70,0.4,2629.9,995.1,16.3,7944.5,16.5,0.1,1,1006.8,2450.2,0.7,0.1,0.2,6342.1,778.7,1.9,0.3,0.4,6.3,0.1,0.1,16.7,0.8,0,0,0,36.9,0.9,0
71,0.4,2941.9,970.5,76.9,9012.5,42.7,0.3,0.9,1070.7,2101.7,1.8,0.4,0.2,596.4,31.6,0.2,0.2,1,4.3,0.1,0.2,13.7,0.1,0,0,-0.1,11.8,1,0
72,0.5,3051,909.9,38,8970.8,12.5,0.3,3,3347.6,1898.8,1.1,0.4,0.2,410.2,12.3,0.2,0.2,1.2,23.6,0.1,0.2,12.7,1.8,0,0,-0.1,9.3,1.1,0
73,0.5,3028.9,977.4,61.2,9034.4,37,0.2,1,1087.5,2108.4,-0.2,0.4,0.2,628.7,40.3,0.2,0.2,1.1,8.2,0.1,0.1,13.6,0.1,0,0,-0.1,12.5,1.2,0
74,0.5,3002,937.4,30.9,9033.5,11.1,0,0.9,962.8,1969.5,0.9,0.3,0.1,395.6,12.1,0.1,0.1,0.8,4.2,0.1,0.2,13.1,0.9,0,0,-0.1,9.6,1,0
75,0.4,2830.5,992,27,8240.7,17.7,0.2,0.9,881,2217.2,1,0.1,0.1,440.2,37.3,0.1,0.1,0.9,4.3,0.1,0.2,14.8,0,0,0,-0.2,18.8,1,0
76,0.4,2801.6,979,16.1,8176.5,9.1,0.1,0.9,874.8,2173.3,0.7,0.1,0.1,159.5,10.1,0,0.1,0.7,6.4,0.1,0.1,14.6,1,0,0,-0.2,17.4,1,0
77,0.4,2682.6,960.7,23.2,7690.5,18.7,0.3,0.9,922.6,2223.4,0.8,0.1,0.1,675.5,232.9,0.4,0.2,1,4,0.1,0.3,14.7,0,0,0,-0.2,28.6,1,0
78,0.4,2647.3,961.6,16.2,7646.5,8.7,0.2,0.9,920.8,2210,0.6,0,0.1,172.3,214.2,0.4,0.2,0.6,5.3,0,0.1,14.7,0.1,0,0,-0.2,23.8,1,0
79,0.4,2626.1,982.4,19.3,7803.9,22.9,0.6,0.9,980.3,2342.9,0.8,0.1,0.2,2577,542.7,1.2,0.2,1.1,4.1,0.1,0,15.5,0,0,0,-0.2,36.2,0.9,0
80,0.4,2625.8,973.8,15.7,7748.8,10.7,0.2,1,995.9,2334.4,0.7,0,0.1,2270.6,547.4,1.2,0.2,0.5,7.3,0.1,0.2,15.4,0.6,0,0,0.2,28.6,0.9,0
81,0.3,2590.8,991.3,21.4,8003,32.1,0.2,1,1003.9,2422.7,0.9,0.1,0.1,5938,755.3,1.9,0.2,1.3,5.5,0.1,0,16.5,0.2,0,0,0,37,1,0
82,0.4,2612.4,994.6,15.2,7917,12,0.6,1,1006.7,2436.8,0.7,0.1,0.1,5504.8,757,1.9,0.2,0.4,7.4,0.1,0,16.6,0.8,0,0,-0.1,35.7,1,0
83,0.4,2602.4,991.7,20.6,7977.3,31.9,0.2,1,1003.4,2403.4,0.8,0.1,0.2,5696.1,725.9,1.8,0.2,1.3,5.6,0.1,0,16.2,0.2,0,0,-0.1,37.1,1.1,0
84,0.4,2673.3,1002.3,22.4,7951.2,11.9,0.2,1.1,1136.3,2426.5,0.7,0.1,0.3,5091.9,727.1,1.8,0.3,0.5,10.1,0.1,0.3,16.2,0.8,0,0,-0.1,35,1,0
85,0.5,2959.4,982.2,70.9,8984.9,45.2,0.2,0.9,1061.5,2133.4,-0.6,0.4,0.2,605.3,33.7,0.2,0.2,1.1,4.3,0.1,0.1,13.9,0.1,0,0,-0.1,12.1,1.1,0
86,0.5,2956.9,899.4,121.2,8989.6,20.4,0.1,2,2202,1871.5,2.3,0.4,0.2,459.6,12.8,0.2,0.2,1,6,0.1,0,12.5,0.4,0,0,-0.2,9.3,1,0
87,0.5,2953.2,982.4,83.4,9052.4,39.5,0.1,0.9,1029.3,2148.7,-2.5,0.4,0.2,612.6,37.1,0.2,0.2,1,4.1,0.1,0.1,14.1,0,0,0,-0.2,12.6,1.1,0
88,0.4,2989.4,942.6,39.4,9041.1,11.5,-0.1,0.9,955,1976.9,1.1,0.3,0.2,392.4,10.2,0.1,0.1,0.9,4.2,0.1,0.1,13.1,0.2,0,0,-0.2,9.6,1,0
89,0.4,2710.4,971.7,23.5,7656.1,15.8,0.3,0.9,863,2204,0.9,0.1,0.2,428.4,58.1,0.1,0.2,1.1,3.7,0,0.2,14.7,0,0,0,-0.2,21.2,0.9,0
90,0.4,2768.9,973,14.6,7710.2,7.9,0.2,0.9,884.7,2219.4,0.6,0,0.2,108.5,20.7,0,0.2,0.9,5.6,0,0.2,14.7,0.2,0,0,-0.2,19.8,0.9,0
91,0.4,2627,964.4,19.6,7613.7,33.8,0.4,0.9,966.4,2290.7,0.8,0.1,0.1,712.5,350.7,0.6,0.2,1,4.9,0.1,0.3,14.8,0.1,0,0,0.2,35.5,1.1,0
